IDCLI,CODBAI,NOMEBAI,CODCID,NOMECID,CODUF,UF,PESOBRUTO,DEVOLUCAO,RECENCIA,FREQUENCIA,MONETARY,,,
330,1228,SAO VICENTE,1864,AFONSO CLAUDIO,16,ES,"16322,86335",0,1050,48,"17317,08",,,
331,1,CENTRO,2011,NOVA VENECIA,16,ES,"5303,61",0,35,15,"4210,29",,,
332,18852,ILHA DO COCO,1955,ICONHA,16,ES,"1685,0431",0,119,87,"15786,54",,,
333,1,CENTRO,2081,SAO JOSE DO CALCADO,16,ES,"10761,0636",0,56,132,"58732,06",,,
334,18651,DISTRITO SAO JOSE DE FRUTEIRAS,2098,VARGEM ALTA,16,ES,"29925,34555","319,58",13,327,"110438,84",,,
336,1432,SHELL,1991,LINHARES,16,ES,"38976,42675","7414,25",15,602,"303135,76",,,
337,1,CENTRO,1929,DOMINGOS MARTINS,16,ES,"2181,72245",0,43,59,"10917,67",,,
339,470,NSA SRA DA PENHA,2107,VILA VELHA,16,ES,"4840,4365",0,5,126,"39588,7",,,
341,1196,SANTA CECILIA,2111,VITORIA,16,ES,"657,72",0,86,29,"9209,32",,,
342,1,CENTRO,1869,ALEGRE,16,ES,"982,0296",0,78,50,"10579,84",,,
343,18730,DA GRAMA,1864,AFONSO CLAUDIO,16,ES,"5507,8188","1742,65",1643,27,"13478,85",,,
344,1,CENTRO,1993,MANTENOPOLIS,16,ES,"125490,1635","1766,57",9,675,"314837,32",,,
346,18736,VILA DA MATA ,2100,VENDA NOVA IMIGRANTE,16,ES,"108642,5145","4766,69",9,847,"530365,79",,,
347,1459,GURIRI NORTE,2083,SAO MATEUS,16,ES,"4061,754",0,26,133,"26442,88",,,
348,1519,LARANJEIRAS VELHA,2091,SERRA,16,ES,"2016,2",0,1461,6,1005,,,
349,1394,MUQUICABA,1947,GUARAPARI,16,ES,"5118,87991",0,1206,153,"40448,98",,,
351,1,CENTRO,2088,SAO ROQUE DO CANAA,16,ES,"8559,45699","1008,18",656,103,"21034,1",,,
353,1490,NESTOR GOMES,2083,SAO MATEUS,16,ES,"4216,9816","1428,48",154,52,"20650,25",,,
354,18694,WANDA MARIA,1994,MARATAIZES,16,ES,"7120,5484","133,92",37,190,"85288,85",,,
358,9717,UNIVERSAL,2101,VIANA,16,ES,"56507,36975","279,46",1134,243,"79462,29",,,
359,18627,SEDE,1929,DOMINGOS MARTINS,16,ES,"1550,2587",0,28,60,"13508,57",,,
361,1,CENTRO,7058,ITAOCARA,7,RJ,"19751,1526","4926,32",35,114,"180467,21",,,
363,1,CENTRO,1929,DOMINGOS MARTINS,16,ES,"51373,49516","4270,45",6,405,"218832,04",,,
